City,Name,Working Hours,Location,Phone Number
Скопје,Автокоманда,06.00 - 20.00; Недела не работи,ул. Јани Лукровски бр.1; 1000 Скопје - Гази Баба,3153061
Скопје,Сајмиште 2,00.00 - 24.00,ул. Беласица бр.2; 1000 Скопје,3153062
Скопје,Чаир,00.00 - 24.00,ул. Ќемал Сејфула бр.6; 1000 Скопје - Чаир,3153063
Скопје,Бутел,00.00 - 24.00,ул. Александар Урдаревски бр.6; 1000 Скопје,3153064
Скопје,Топанско поле,"07,00 - 19,00; Недела не работи",Булевар Македонско- Косовска Бригада бр.37; 1000 Скопје,3153065
Скопје,Драчево,00.00 - 24.00,ул. Бистра бр.2; 1000 Скопје,3153067
Скопје,Кисела Вода,00.00 - 24.00,ул. Христо Tатарчев бр.41; 1000 Скопје,3153068
Скопје,Аеродром,06.00 - 20.00,ул. Фрањо Клуз Бр.8; 1000 Скопје,3153069
Скопје,Илинденска,"00,00 - 24,00",Булевар Илинден бр.138; 1000 Скопје,3153070
Скопје,Ѓорче Петров,00.00 - 24.00,ул. Ѓорче Петров бр.174; 1000 Скопје,3153071
Велес,Велес 3,00.00 - 24.00,Автопат-Скопје/Велес; 1400 Велес,3153072
Штип,Штип 3,"00,00 - 24,00",ул. Партизанска бр.52-Б; 2000 Штип,3153073
Штип,Штип 4,06.00 - 22.00,Kej Димитар Влахов бр.27-А ; 2000 Штип,3153074
Ново Село,Ново Село,"06,00 - 22,00",ул. 10-ти Септември бр.10-А; 2434 Ново Село,3153075
Струмица,Муртино,00.00 - 24.00,49-Б; с.Муртино; 2432 Струмица,3153076
Прилеп,Дреново,00.00 - 24.00,Автопат-Градско/Прилеп; 7500 Прилеп,3153078
Петровец,Петровец,"06,00 - 20,00",1 бр.1В; 1043 Петровец,3153079
Куманово,Куманово 3,00.00 - 24.00,624 бр.2; 1300 Куманово,3153080
Куманово,Романовце,00.00 - 24.00,Аавтопат-Куманово/Скопје; 1300 Куманово,3153081
Тетово,Тетово,00.00 - 24.00,ул. Иво Лола Рибар бр.бб; 1200 Тетово,3153082
Кавадарци,Кавадарци,00.00 - 24.00,ул. Западен Булевар бр.35; 1430 Кавадарци,3153083
Скопје,АМСМ,06.00 - 22.00,ул. Св.Кирил и Методиј бр.54А; 1000 Скопје,3153084
Скопје,Орце Николов,07.00 - 22.00; Недела не работи,ул. Орце Николов бр.65; 1000 Скопје,3153085
Скопје,Влае 1,00.00 - 24.00,Булевар Партизански Одреди бр.130; 1000 Скопје,3153086
Скопје,Влае 2,00.00 - 24.00,Булевар Партизански Одреди бр.165; 1000 Скопје,3153087
Тетово,Тетово 2,"00,00 - 24,00",ул. Илинденска бр.бб; 1200 Тетово,3153088
Гостивар,Гостивар,00.00 - 24.00,ул. ЈНА бр.310; 1230 Гостивар,3153089
Маврово,Маврово,06.00 - 20.00,Населено место без уличен систем бр.3; населба Маврови Анови,3153090
Валандово,Удово 1,00.00 - 24.00,ул. Никола Карев бр.10; Удово; 2460 Валандово,3153091
Македонска Каменица,Македонска Каменица,06.00 - 22.00,ул. Индустриска бр.10; 2304 Македонска Каменица,3153092
Валандово,Валандово,"00,00 - 24,00",ул. Првомајска бр.2; 2460 Валандово,3153093
Прилеп,Прилеп 3,06.00 - 22.00,ул. Моша Пијаде бр.232; 7500 Прилеп,3153094
Кривогаштани,Кривогаштани,06.00 - 22.00,ул. Маршал Тито бр.7; 7524 Кривогаштани,3153095
Македонски Брод,Македонски Брод,06.00 - 22.00,ул. Маршал Тито бр.2; 6530 Македонски Брод,3153096
Струмица,Струмица 3,06.00 - 22.00,Булевар Гоце Делчев бр.115; 2432 Струмица,3153098
Валандово,Удово 2,"07,00 - 19,00; Сабота 07.00 - 18.00; Недела и празник 07.00 - 18.00",ул. Никола Карев бр.12; Удово; 2460 Валандово,3153099
Тетово,Пирок,07.30 - 19.00; Недела не работи,Пирок; 1214 Боговиње,3153102
Прилеп,Канатларци,07.00 - 14.00; Сабота 07.00 - 12.00; Недела не работи,Населено место без уличен систем; Канатларци; 7500 Прилеп,3153103
Битола,Битола 4,00.00 - 24.00,ул. Никола Јонков Вапцаров бр.1А; 7000 Битола,3153105
Автопат Штип-Скопје,Три Чешми 2,07.00 - 19.00,Автопат Штип-Скопје/с.Три Чешми; 2205 Три Чешми,3153112
Гостивар,Бигорски,"06,00 - 22,00",бр.Св. Јован Бигорски; 1230 Гостивар,3153114
Битола,Добрушево,07.00 - 14.00; Сабота 07.00 - 12.00; Недела не работи,ул. Маршал Тито бр.2; с.Добрушево; 6000 Битола,3153117
Пехчево,Пехчево,06.00 - 22.00,ул. Борис Кидрич бр.82; 2326 Пехчево,3153119
Струмица,Струмица 4,00.00 - 24.00,ул. Климент Охридски бр.400; 2432 Струмица,3153120
